"productName","productLine","quantityInStock","buyPrice"
"1962 LanciaA Delta 16V","Classic Cars",6791,"103.42"
"1998 Chrysler Plymouth Prowler","Classic Cars",4724,"101.51"
"1952 Alpine Renault 1300","Classic Cars",7305,"98.58"
"1956 Porsche 356A Coupe","Classic Cars",6600,"98.30"
"2001 Ferrari Enzo","Classic Cars",3619,"95.59"
"1968 Ford Mustang","Classic Cars",68,"95.34"
"1995 Honda Civic","Classic Cars",9772,"93.89"
"1970 Triumph Spitfire","Classic Cars",5545,"91.92"
"2003 Harley-Davidson Eagle Drag Bike","Motorcycles",5582,"91.02"
"1969 Corvair Monza","Classic Cars",6906,"89.14"
"1917 Grand Touring Sedan","Vintage Cars",2724,"86.70"
"1972 Alfa Romeo GTA","Classic Cars",3252,"85.68"
"1940s Ford truck","Trucks and Buses",3128,"84.76"
"1993 Mazda RX-7","Classic Cars",3975,"83.51"
"1969 Ford Falcon","Classic Cars",1049,"83.05"
"18th century schooner","Ships",1898,"82.34"
"1992 Ferrari 360 Spider red","Classic Cars",8347,"77.90"
"1958 Setra Bus","Trucks and Buses",1579,"77.90"
"1980s Black Hawk Helicopter","Planes",5330,"77.27"
"1968 Dodge Charger","Classic Cars",9123,"75.16"
"1964 Mercedes Tour Bus","Trucks and Buses",8258,"74.86"
"1976 Ford Gran Torino","Classic Cars",9127,"73.49"
"1952 Citroen-15CV","Classic Cars",1452,"72.82"
"1928 Mercedes-Benz SSK","Vintage Cars",548,"72.56"
"1957 Corvette Convertible","Classic Cars",1249,"69.93"
"1992 Porsche Cayenne Turbo Silver","Classic Cars",6582,"69.78"
"1996 Moto Guzzi 1100i","Motorcycles",6625,"68.99"
"America West Airlines B757-200","Planes",9653,"68.80"
"1903 Ford Model A","Vintage Cars",3913,"68.30"
"Diamond T620 Semi-Skirted Tanker","Trucks and Buses",1016,"68.29"
"Collectable Wooden Train","Trains",6450,"67.56"
"1997 BMW F650 ST","Motorcycles",178,"66.92"
"1928 British Royal Navy Airplane","Planes",3627,"66.74"
"2002 Suzuki XREO","Motorcycles",9997,"66.27"
"1965 Aston Martin DB5","Classic Cars",9042,"65.96"
"1941 Chevrolet Special Deluxe Cabriolet","Vintage Cars",2378,"64.58"
"1948 Porsche Type 356 Roadster","Classic Cars",8990,"62.16"
"2002 Chevy Corvette","Classic Cars",9446,"62.11"
"1962 Volkswagen Microbus","Trucks and Buses",2327,"61.34"
"1997 BMW R 1100 S","Motorcycles",7003,"60.86"
"1913 Ford Model T Speedster","Vintage Cars",4189,"60.78"
"18th Century Vintage Horse Carriage","Vintage Cars",5992,"60.74"
"1937 Lincoln Berline","Vintage Cars",8693,"60.62"
"ATA: B757-300","Planes",7106,"59.33"
"1969 Dodge Charger","Classic Cars",7323,"58.73"
"1932 Model A Ford J-Coupe","Vintage Cars",9354,"58.48"
"1940 Ford Pickup Truck","Trucks and Buses",2613,"58.33"
"1917 Maxwell Touring Car","Vintage Cars",7913,"57.54"
"1936 Chrysler Airflow","Vintage Cars",4710,"57.46"
"1985 Toyota Supra","Classic Cars",7733,"57.01"
"1999 Indy 500 Monte Carlo SS","Classic Cars",8164,"56.76"
"1974 Ducati 350 Mk3 Desmo","Motorcycles",3341,"56.13"
"1957 Chevy Pickup","Trucks and Buses",6125,"55.70"
"F/A 18 Hornet 1/72","Planes",551,"54.40"
"1980’s GM Manhattan Express","Trucks and Buses",5099,"53.93"
"1948 Porsche 356-A Roadster","Classic Cars",8826,"53.90"
"The Queen Mary","Ships",5088,"53.63"
"1904 Buick Runabout","Vintage Cars",8290,"52.66"
"1999 Yamaha Speed Boat","Ships",4259,"51.61"
"American Airlines: B767-300","Planes",5841,"51.15"
"The Titanic","Ships",1956,"51.09"
"1969 Chevrolet Camaro Z28","Classic Cars",4695,"50.51"
